Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,soil_rainfall_mean,NPK_Index,Rainfall_Fert_Ratio,Log_Area,Log_Production,Season_encoded,Crop_encoded,State_encoded
Masoor,2004,Rabi,Bihar,178768.0,127032.0,1147.8,19367725.12,37541.28,0.631052632,18.77,68.36,19.41,6.927931571609999,24.509052402600002,64.8047846785,45.680454204,35.51333333333333,5.926353939994686e-05,12.093849748613772,11.752202174207193,2,25,3
Mesta,2004,Kharif,Bihar,15549.0,124048.0,1147.8,1684578.66,3265.29,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006813569148757263,9.65181591760738,11.728431927821836,1,26,3
Moong(Green Gram),2004,Kharif,Bihar,7323.0,3617.0,1147.8,793373.82,1537.83,0.470555556,20.99,47.28,19.87,6.72395694037,28.5257747353,85.49997454300001,48.403600902899996,29.38,0.0014467310671644458,8.898911905794401,8.193676665955241,1,27,3
Moong(Green Gram),2004,Summer,Bihar,175402.0,96750.0,1147.8,19003052.68,36834.42,0.501428571,20.99,47.28,19.87,6.72395694037,28.5257747353,85.49997454300001,48.403600902899996,29.38,6.0400818696208616e-05,12.07484146253678,11.479895946755926,3,27,3
Onion,2004,Whole Year,Bihar,14115.0,106528.0,1147.8,1529219.1,2964.15,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0007505786773270897,9.55506418479516,11.576172527534057,4,31,3
Other  Rabi pulses,2004,Rabi,Bihar,2492.0,1886.0,1147.8,269983.28,523.32,0.819090909,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.004251358634658284,7.821242083523558,7.54274354536855,2,32,3
Other Kharif pulses,2004,Kharif,Bihar,6116.0,3365.0,1147.8,662607.44,1284.36,0.509583333,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0017322447628345936,8.718827059242566,8.121480374750751,1,34,3
Peas & beans (Pulses),2004,Rabi,Bihar,22824.0,20085.0,1147.8,2472752.16,4793.04,0.891388889,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0004641789639852285,10.03561170546317,9.907778333953285,2,36,3
Potato,2004,Whole Year,Bihar,138730.0,304705.5,1147.8,15030008.2,29133.3,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,7.63672187239912e-05,11.840292085295026,12.627104297204422,4,37,3
Ragi,2004,Kharif,Bihar,15570.0,10512.0,1147.8,1686853.8,3269.7,0.655357143,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006804379369226088,9.653165488841426,9.26036786557583,1,38,3
